Order_ID,Date,Month,Year,Customer_ID,Product_ID,Category,Quantity,Unit_Price,Discount,Sales_Amount
50,2025-01-05,1,2025,C096,P030,D3 Formulations,1,34.58,0.1,31.12
51,2025-03-24,3,2025,C027,P212,Essential Fatty Acids,1,30.81,0.15,26.19
51,2025-03-24,3,2025,C027,P122,Minerals,4,18.42,0.15,62.63
51,2025-03-24,3,2025,C027,P018,Nutritional Accessories,2,20.42,0.15,34.71
51,2025-03-24,3,2025,C027,P125,Minerals,4,30.74,0.15,104.52
51,2025-03-24,3,2025,C027,P240,Nutritional Accessories,4,33.3,0.15,113.22
52,2025-02-26,2,2025,C054,P025,D3 Formulations,3,14.08,0.12,37.17
52,2025-02-26,2,2025,C054,P056,D3 Formulations,1,15.89,0.12,13.98
53,2025-10-11,10,2025,C119,P028,B Formulations,3,10.2,0.0,30.6
54,2025-01-27,1,2025,C032,P143,D3 Formulations,2,26.37,0.05,50.1
55,2025-05-14,5,2025,C074,P049,Herbs,4,12.57,0.05,47.77
55,2025-05-14,5,2025,C074,P195,Essential Fatty Acids,1,13.26,0.05,12.6
55,2025-05-14,5,2025,C074,P076,B Formulations,3,24.62,0.05,70.17
56,2025-11-16,11,2025,C071,P010,B Formulations,1,33.34,0.0,33.34
56,2025-11-16,11,2025,C071,P153,Multiple Formulas,1,24.85,0.0,24.85
57,2025-01-13,1,2025,C090,P173,C Formulations,1,12.26,0.15,10.42
57,2025-01-13,1,2025,C090,P170,Herbs,3,9.68,0.15,24.68
57,2025-01-13,1,2025,C090,P198,D3 Formulations,2,25.15,0.15,42.76
58,2025-03-22,3,2025,C118,P125,Minerals,2,30.74,0.05,58.41
59,2025-01-24,1,2025,C026,P024,Nutritional Accessories,2,7.49,0.05,14.23
59,2025-01-24,1,2025,C026,P066,B Formulations,1,8.7,0.05,8.26
59,2025-01-24,1,2025,C026,P200,C Formulations,2,33.69,0.05,64.01
59,2025-01-24,1,2025,C026,P028,B Formulations,6,10.2,0.05,58.14
60,2025-08-27,8,2025,C007,P187,B Formulations,1,8.28,0.2,6.62
60,2025-08-27,8,2025,C007,P149,Multiple Formulas,5,32.48,0.2,129.92
60,2025-08-27,8,2025,C007,P185,Multiple Formulas,6,13.85,0.2,66.48
60,2025-08-27,8,2025,C007,P200,C Formulations,3,33.69,0.2,80.86
60,2025-08-27,8,2025,C007,P029,Nutritional Accessories,6,20.19,0.2,96.91
60,2025-08-27,8,2025,C007,P166,Multiple Formulas,2,6.88,0.2,11.01
60,2025-08-27,8,2025,C007,P223,Herbs,6,7.31,0.2,35.09
60,2025-08-27,8,2025,C007,P237,Herbs,3,24.66,0.2,59.18
61,2025-05-12,5,2025,C116,P054,D3 Formulations,4,33.17,0.12,116.76
62,2025-10-31,10,2025,C132,P083,Minerals,1,25.24,0.05,23.98
62,2025-10-31,10,2025,C132,P070,Herbs,2,15.83,0.05,30.08
62,2025-10-31,10,2025,C132,P057,Nutritional Accessories,1,9.29,0.05,8.83
62,2025-10-31,10,2025,C132,P037,D3 Formulations,2,24.34,0.05,46.25
63,2025-08-08,8,2025,C140,P141,Nutritional Accessories,4,27.48,0.12,96.73
63,2025-08-08,8,2025,C140,P126,Nutritional Accessories,2,14.54,0.12,25.59
64,2025-04-22,4,2025,C055,P008,Minerals,2,9.48,0.1,17.06
64,2025-04-22,4,2025,C055,P177,C Formulations,3,21.41,0.1,57.81
64,2025-04-22,4,2025,C055,P101,Essential Fatty Acids,3,13.08,0.1,35.32
65,2025-01-25,1,2025,C077,P078,D3 Formulations,3,10.69,0.2,25.66
65,2025-01-25,1,2025,C077,P232,D3 Formulations,1,6.77,0.2,5.42
66,2025-06-07,6,2025,C046,P220,Essential Fatty Acids,3,17.56,0.12,46.36
66,2025-06-07,6,2025,C046,P086,C Formulations,2,21.91,0.12,38.56
66,2025-06-07,6,2025,C046,P134,Minerals,3,22.53,0.12,59.48
66,2025-06-07,6,2025,C046,P024,Nutritional Accessories,1,7.49,0.12,6.59
66,2025-06-07,6,2025,C046,P224,D3 Formulations,2,16.86,0.12,29.67
66,2025-06-07,6,2025,C046,P070,Herbs,2,15.83,0.12,27.86
66,2025-06-07,6,2025,C046,P130,D3 Formulations,1,10.92,0.12,9.61
66,2025-06-07,6,2025,C046,P021,Herbs,1,7.07,0.12,6.22
67,2025-04-02,4,2025,C161,P034,B Formulations,1,12.89,0.1,11.6
67,2025-04-02,4,2025,C161,P093,B Formulations,3,27.65,0.1,74.65
67,2025-04-02,4,2025,C161,P199,Minerals,1,14.12,0.1,12.71
68,2025-07-01,7,2025,C110,P105,B Formulations,3,24.3,0.15,61.96
68,2025-07-01,7,2025,C110,P108,D3 Formulations,1,22.73,0.15,19.32
68,2025-07-01,7,2025,C110,P003,Minerals,1,30.96,0.15,26.32
68,2025-07-01,7,2025,C110,P223,Herbs,2,7.31,0.15,12.43
68,2025-07-01,7,2025,C110,P027,Herbs,1,12.95,0.15,11.01
68,2025-07-01,7,2025,C110,P100,Minerals,1,13.69,0.15,11.64
68,2025-07-01,7,2025,C110,P153,Multiple Formulas,2,24.85,0.15,42.24
68,2025-07-01,7,2025,C110,P168,Essential Fatty Acids,2,29.86,0.15,50.76
68,2025-07-01,7,2025,C110,P206,Minerals,10,16.32,0.15,138.72
68,2025-07-01,7,2025,C110,P198,D3 Formulations,1,25.15,0.15,21.38
69,2025-08-17,8,2025,C066,P154,C Formulations,1,26.36,0.0,26.36
70,2025-12-11,12,2025,C138,P177,C Formulations,6,21.41,0.1,115.61
70,2025-12-11,12,2025,C138,P203,Essential Fatty Acids,4,23.74,0.1,85.46
70,2025-12-11,12,2025,C138,P155,Minerals,2,29.08,0.1,52.34
70,2025-12-11,12,2025,C138,P165,B Formulations,3,23.13,0.1,62.45
70,2025-12-11,12,2025,C138,P054,D3 Formulations,2,33.17,0.1,59.71
70,2025-12-11,12,2025,C138,P186,Minerals,2,18.73,0.1,33.71
70,2025-12-11,12,2025,C138,P164,D3 Formulations,1,14.31,0.1,12.88
70,2025-12-11,12,2025,C138,P142,Multiple Formulas,3,26.21,0.1,70.77
70,2025-12-11,12,2025,C138,P137,Multiple Formulas,1,34.71,0.1,31.24
70,2025-12-11,12,2025,C138,P013,C Formulations,4,26.39,0.1,95.0
70,2025-12-11,12,2025,C138,P210,Minerals,4,7.33,0.1,26.39
70,2025-12-11,12,2025,C138,P153,Multiple Formulas,1,24.85,0.1,22.36
70,2025-12-11,12,2025,C138,P030,D3 Formulations,1,34.58,0.1,31.12
70,2025-12-11,12,2025,C138,P056,D3 Formulations,2,15.89,0.1,28.6
70,2025-12-11,12,2025,C138,P117,Multiple Formulas,2,33.66,0.1,60.59
71,2025-04-14,4,2025,C045,P105,B Formulations,1,24.3,0.12,21.38
71,2025-04-14,4,2025,C045,P069,D3 Formulations,1,24.36,0.12,21.44
71,2025-04-14,4,2025,C045,P184,C Formulations,1,29.06,0.12,25.57
72,2025-10-13,10,2025,C031,P216,Minerals,3,20.26,0.2,48.62
72,2025-10-13,10,2025,C031,P167,Nutritional Accessories,3,7.08,0.2,16.99
73,2025-08-29,8,2025,C088,P161,Essential Fatty Acids,6,7.04,0.1,38.02
73,2025-08-29,8,2025,C088,P079,Essential Fatty Acids,1,32.06,0.1,28.85
74,2025-07-18,7,2025,C147,P061,C Formulations,2,25.14,0.0,50.28
74,2025-07-18,7,2025,C147,P134,Minerals,4,22.53,0.0,90.12
74,2025-07-18,7,2025,C147,P060,Minerals,4,13.48,0.0,53.92
75,2025-05-08,5,2025,C105,P018,Nutritional Accessories,6,20.42,0.2,98.02
76,2025-06-21,6,2025,C086,P132,Minerals,2,33.15,0.15,56.36
76,2025-06-21,6,2025,C086,P105,B Formulations,2,24.3,0.15,41.31
76,2025-06-21,6,2025,C086,P153,Multiple Formulas,1,24.85,0.15,21.12
77,2025-07-10,7,2025,C010,P029,Nutritional Accessories,1,20.19,0.05,19.18
77,2025-07-10,7,2025,C010,P043,B Formulations,2,11.41,0.05,21.68
77,2025-07-10,7,2025,C010,P238,Herbs,2,19.29,0.05,36.65
77,2025-07-10,7,2025,C010,P081,Essential Fatty Acids,2,6.27,0.05,11.91
77,2025-07-10,7,2025,C010,P125,Minerals,4,30.74,0.05,116.81
77,2025-07-10,7,2025,C010,P022,Minerals,4,23.68,0.05,89.98
77,2025-07-10,7,2025,C010,P144,Nutritional Accessories,1,16.43,0.05,15.61
77,2025-07-10,7,2025,C010,P055,Essential Fatty Acids,6,9.99,0.05,56.94
78,2025-02-07,2,2025,C020,P162,Multiple Formulas,1,19.5,0.05,18.52
78,2025-02-07,2,2025,C020,P029,Nutritional Accessories,2,20.19,0.05,38.36
78,2025-02-07,2,2025,C020,P208,D3 Formulations,3,6.42,0.05,18.3
78,2025-02-07,2,2025,C020,P176,Herbs,10,7.5,0.05,71.25
79,2025-02-24,2,2025,C163,P060,Minerals,2,13.48,0.15,22.92
79,2025-02-24,2,2025,C163,P241,B Formulations,1,17.2,0.15,14.62
79,2025-02-24,2,2025,C163,P106,B Formulations,1,29.05,0.15,24.69
79,2025-02-24,2,2025,C163,P063,Minerals,2,22.1,0.15,37.57
80,2025-10-23,10,2025,C089,P209,Herbs,3,9.37,0.05,26.7
81,2025-04-27,4,2025,C017,P204,Multiple Formulas,2,18.17,0.12,31.98
82,2025-11-22,11,2025,C128,P129,D3 Formulations,1,15.19,0.12,13.37
82,2025-11-22,11,2025,C128,P045,D3 Formulations,2,23.14,0.12,40.73
82,2025-11-22,11,2025,C128,P042,Essential Fatty Acids,3,15.3,0.12,40.39
83,2025-09-03,9,2025,C037,P223,Herbs,2,7.31,0.1,13.16
84,2025-09-28,9,2025,C091,P061,C Formulations,3,25.14,0.1,67.88
84,2025-09-28,9,2025,C091,P157,Essential Fatty Acids,2,15.8,0.1,28.44
85,2025-01-10,1,2025,C149,P210,Minerals,2,7.33,0.05,13.93
85,2025-01-10,1,2025,C149,P005,C Formulations,5,20.81,0.05,98.85
85,2025-01-10,1,2025,C149,P072,B Formulations,1,27.05,0.05,25.7
85,2025-01-10,1,2025,C149,P052,Herbs,3,26.04,0.05,74.21
85,2025-01-10,1,2025,C149,P082,D3 Formulations,2,8.94,0.05,16.99
85,2025-01-10,1,2025,C149,P031,Minerals,1,13.02,0.05,12.37
85,2025-01-10,1,2025,C149,P123,B Formulations,4,34.03,0.05,129.31
85,2025-01-10,1,2025,C149,P127,B Formulations,2,17.17,0.05,32.62
85,2025-01-10,1,2025,C149,P172,Minerals,1,28.33,0.05,26.91
85,2025-01-10,1,2025,C149,P037,D3 Formulations,4,24.34,0.05,92.49
86,2025-05-24,5,2025,C095,P247,Multiple Formulas,2,6.53,0.12,11.49
86,2025-05-24,5,2025,C095,P123,B Formulations,1,34.03,0.12,29.95
86,2025-05-24,5,2025,C095,P075,Minerals,2,28.62,0.12,50.37
86,2025-05-24,5,2025,C095,P184,C Formulations,1,29.06,0.12,25.57
87,2025-10-25,10,2025,C001,P207,Nutritional Accessories,1,27.98,0.1,25.18
87,2025-10-25,10,2025,C001,P187,B Formulations,2,8.28,0.1,14.9
87,2025-10-25,10,2025,C001,P246,Herbs,2,8.92,0.1,16.06
87,2025-10-25,10,2025,C001,P001,Essential Fatty Acids,2,18.39,0.1,33.1
87,2025-10-25,10,2025,C001,P163,Nutritional Accessories,1,21.74,0.1,19.57
88,2025-09-25,9,2025,C012,P009,Essential Fatty Acids,6,15.79,0.05,90.0
88,2025-09-25,9,2025,C012,P075,Minerals,3,28.62,0.05,81.57
88,2025-09-25,9,2025,C012,P158,B Formulations,2,16.89,0.05,32.09
88,2025-09-25,9,2025,C012,P156,B Formulations,1,31.81,0.05,30.22
88,2025-09-25,9,2025,C012,P127,B Formulations,1,17.17,0.05,16.31
89,2025-03-26,3,2025,C006,P095,Herbs,2,30.63,0.12,53.91
89,2025-03-26,3,2025,C006,P179,Multiple Formulas,1,24.49,0.12,21.55
89,2025-03-26,3,2025,C006,P102,B Formulations,1,34.22,0.12,30.11
90,2025-03-28,3,2025,C106,P010,B Formulations,2,33.34,0.2,53.34
90,2025-03-28,3,2025,C106,P241,B Formulations,3,17.2,0.2,41.28
91,2025-04-26,4,2025,C125,P229,Multiple Formulas,1,10.73,0.0,10.73
92,2025-03-12,3,2025,C012,P068,Multiple Formulas,1,32.11,0.0,32.11
92,2025-03-12,3,2025,C012,P168,Essential Fatty Acids,2,29.86,0.0,59.72
92,2025-03-12,3,2025,C012,P093,B Formulations,3,27.65,0.0,82.95
92,2025-03-12,3,2025,C012,P213,Minerals,1,26.41,0.0,26.41
92,2025-03-12,3,2025,C012,P189,Essential Fatty Acids,6,33.92,0.0,203.52
92,2025-03-12,3,2025,C012,P013,C Formulations,10,26.39,0.0,263.9
92,2025-03-12,3,2025,C012,P216,Minerals,3,20.26,0.0,60.78
92,2025-03-12,3,2025,C012,P084,Nutritional Accessories,2,6.15,0.0,12.3
92,2025-03-12,3,2025,C012,P223,Herbs,3,7.31,0.0,21.93
92,2025-03-12,3,2025,C012,P009,Essential Fatty Acids,1,15.79,0.0,15.79
93,2025-02-03,2,2025,C164,P129,D3 Formulations,10,15.19,0.1,136.71
93,2025-02-03,2,2025,C164,P057,Nutritional Accessories,2,9.29,0.1,16.72
94,2025-10-09,10,2025,C071,P195,Essential Fatty Acids,2,13.26,0.2,21.22
94,2025-10-09,10,2025,C071,P190,Herbs,1,30.24,0.2,24.19
95,2025-07-09,7,2025,C121,P229,Multiple Formulas,2,10.73,0.0,21.46
96,2025-09-13,9,2025,C141,P025,D3 Formulations,3,14.08,0.1,38.02
96,2025-09-13,9,2025,C141,P188,Essential Fatty Acids,1,6.74,0.1,6.07
96,2025-09-13,9,2025,C141,P213,Minerals,10,26.41,0.1,237.69
96,2025-09-13,9,2025,C141,P031,Minerals,3,13.02,0.1,35.15
97,2025-12-20,12,2025,C160,P154,C Formulations,1,26.36,0.05,25.04
